,author,title,text,source,bias,article_type
47,Aviral Virk,What is Rahul Gandhiâ€™s Narrative at the Congress Plenary?,"At the 1998 All India Congress Committee plenary, Sonia Gandhiâ€™s election as Congress President was ratified. Electorally, the party was at its lowest, having lost two consecutive elections and reduced to its lowest strength in the Lok Sabha with 144 MPs. It was in power in only a few states including â€“ Madhya Pradesh and Rajasthan. Internally, the party leadership was fragmented. Even after Sitaram Kesariâ€™s controversial exit, other senior leaders were yet to fully accept Sonia Gandhiâ€™s leadership, ostensibly because of her foreign origins. In 2017, the AICC plenary will ratify her son, Rahul Gandhiâ€™s election as party president. Electorally, the party is at its lowest point after the 2014 general election â€“ reduced to only 49 MPs in the Lok Sabha. After losing Meghalaya and Assam, the Congress is reduced to power in only three states â€“ Karnataka, Punjab and Mizoram and one union territory - Pondicherry. Internally, the party struggles to strike a balance between the ambitions of the old and the new guard, continues to be outsmarted by the BJPâ€™s ground-level organisation skills and outshouted by its media campaigns. It took Sonia Gandhi six years before she could lead the party to a election victory in 2004. With less than a year to go for the 2019 general election, the AICC plenary gives fair view of the message that the Congress is trying to send to its party workers and the Opposition. For the first time in the history of the Indian National Congress, the stage on which the party leadership sits has been done away with. The attempt is to give out a message of equality to the party worker, who did not have a say so far. On Day 2 of the plenary, Rahul Gandhi, in his opening remarks acknowledged Punjab Chief Minister Capt Amarinder Singh and Karnataka Chief Minister Siddaraiamaiah as leaders whoâ€™ve helped â€œfight the battle of the Congressâ€ and â€œprotecting its symbolâ€. Rahul Gandhi, in his opening remarks on Day 2 of the AICC plenary, said: In a sharp contrast to previous plenary sessions, Gandhi kept his opening remarks short and repeatedly accused Prime Minister Narendra Modi of being â€œautocraticâ€. By positioning himself as a more tolerant leader who allowed more room to his leaders than himself, Gandhi will be hoping to set a counter-narrative to Modiâ€™s â€˜one man showâ€™. However, United Progressive Alliance Chairperson Sonia Gandhi tore into the Modi government, accusing it of being â€œarrogant and power hungry.â€ She accused the Bharatiya Janata Party of working towards a â€œ â€ instead of advancing the country and said that the promises of "" â€ and "" "" by the current government is nothing but â€œdramaâ€ and their tactics to get votes. The Congress is leveraging the TDP-BJP divorce by drawing a comparison to the â€œdinner diplomacyâ€ displayed by UPA Chairperson Sonia Gandhi last week. â€œUPAâ€™s dining table is getting bigger, NDAâ€™s walls are getting higherâ€, is how Congress spokesperson Jaiveer Shergill described the political developments. In its political resolution, released on Saturday, the Congress mentioned that it was Prime Minister Dr Manmohan Singh who had announced the award in Special Category Status of Andhra Pradesh in Parliament on 20 February 2014 and that the party was â€œdismayed that till the date, the implementation of the special category status has not been given effect to and that even the benefits to the State announced in the AP Reorganisation Act have been diluted or not implementedâ€. Further, it condemned the â€œneglectâ€ and â€œinjusticeâ€ to the state of Andhra Pradesh by the current BJP-led government and reiterated its commitment to the complete implementation of the PMâ€™s assurances and the provision of the AP Reorganisation Act, and Special Category Status to Andhra Pradesh. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
48,The Quint,"Yogi Govt Rings in Its 1st Birthday With Music, Dance and Promises - The Quint","The Yogi Adityanath-led Bharatiya Janata Party (BJP) government in Uttar Pradesh on Monday, 19 March, marked its anniversary in style, amid films, music, dance and some more promises. To mark the occasion, CM Yogi Adityanath released a film ""  and a booklet highlighting his government's achievements. The main event was held at the Lok Bhawan in Lucknow, where top leaders such as Governor Ram Naik, the Chief Minister, his two deputies â€“ Keshav Prasad Maurya and Dinesh Sharma, â€“ cabinet ministers, Assembly speaker Hriday Narayan Dixit, party legislators, functionaries and a host of top bureaucrats and police officials were present. The sprawling Lok Bhawan, which was incidentally constructed during the tenure of previous Chief Minister Akhilesh Yadav, was dotted by drum-beating and conch-shell blowing folk artistes in colourful costumes. Welcoming the guests, Deputy CM Maurya said that the government's first year has been memorable on many terms, as it had not only succeeded in creating an atmosphere of security and safety in the state but also successfully held an investorsâ€™ summit, besides waiving off loans of poor farmers. He also thanked the state BJP's Secretary, Organisation, Sunil Bansal, terming him the architect of the BJP's success in the state. Adityanath said that identity of such people will be kept secret and strict action will be initiated against all guilty officials and government employees. Thanking BJP President Amit Shah for his best wishes, Yogi said on Twitter that his government has worked hard to fulfil the aspirations of the people and uphold the partyâ€™s manifesto. The Adityanath government was sworn in on March 19 2017, in presence of Prime Minister Narendra Modi and senior BJP leaders after the party stormed to power in the state after a gap of over a decade and a half, securing a three-fourth majority. (With IANS inputs)   (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
49,Thubten Samphel,Why Tibetans Shouldnâ€™t Be Offended by Indiaâ€™s Snub to Dalai Lama - The Quint,"When you thank a person for his or her hospitality or a favour done or courtesy shown to you, that personâ€™s usual and expected response is â€œYou are most welcome.â€ In the lead-up to a major year-long Thank You India event to commemorate 60 years in exile and to take place across India and organised by the Central Tibetan Administration, the government of Indiaâ€™s response seems to be â€œWe donâ€™t want your thank you.â€ As  , the cabinet secretary of the union government issued a circular advising central and state leaders and officials not to attend any â€˜Thank You, Indiaâ€™ event. The Central Tibetan Administration was advised to move the highlight of the event from New Delhi to Dharamsala. This is the trending topic among Tibetans on social media. Tibetans have expressed their disappointment, suspecting a shift in the attitude of the government of India to the Tibetan cause. In fact, Indiaâ€™s diplomatic tip-toeing around the issue of Tibet should not distract the Tibetan refugees from the Indian governmentâ€™s massive, consistent and unstinting support to them. With Indiaâ€™s support and under the Dalai Lamaâ€™s guidance, the Tibetan refugees have been able to establish a productive and cohesive community serviced by schools, settlements, hospitals, clinics, old peopleâ€™s homes, monasteries and higher learning centres, all centrally or autonomously supervised by the Central Tibetan Administration. More importantly, Indiaâ€™s tolerance and hospitality has given space to Tibetan refugees to re-energise and revitalise the institutions, values and disciplines of Tibetâ€™s Buddhist heritage. This ability to re-establish Tibetâ€™s cultural and spiritual heritage in India has attracted students and scholars from areas which once came within the ambit of Tibetâ€™s Buddhist civilisation. The Dalai Lamaâ€™s tireless travel and his message of peace and compassion have drawn new students and scholars to India from across the world. Some scholars call the ability of Tibetan refugees to plant the roots of cultural Tibet in India â€œone of the miracles of the twentieth century.â€ As for the government of Indiaâ€™s policy to Tibet is concerned, that was settled in 1954. That year, India and China signed the Panchsheel agreement in which India recognised Tibet as an autonomous part of the Peopleâ€™s Republic of China. Against this historical background, how the government of India will continue to view the exile community will depend on the Tibetan refugees themselves. How they conduct themselves, how they use the enormous freedom granted to them, and how they use the same energy to strengthen their cultural and community cohesion will shape the central governmentâ€™s view. As for the Indian public, there is a groundswell of sympathy and support generated by the Dalai Lama. This support and sympathy should never be squandered. â€™s  (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,business
50,Manoj Joshi,Indiaâ€™s Stance on Dalai Lama Reveals Dynamics With China - The Quint,"At first sight, there is nothing wrong with Foreign Secretary Vijay Gokhaleâ€™s request to the Cabinet Secretary requesting him to send out a directive asking senior government officials to stay away from events aimed at marking the start of the Dalai Lamaâ€™s 60th year of exile, in particular a large public event in New Delhi on 1 April. The foreign secretaryâ€™s letter was sent on the eve of his visit to Beijing on 22 February. He noted that the coming months were a â€œvery sensitive timeâ€ for bilateral relations. This June, Prime Minister Narendra Modi is expected to visit Qingdao in China to attend the Shanghai Cooperation Organisation (SCO) summit. But unconfirmed reports suggest that the Prime Minister may make an official visit as early as April. That would explain the ""sensitive time"" point. The reality of how India has dealt with the Dalai Lama and the Tibetan refugees is more nuanced. The Modi government, in particular, has not been above using the Tibetans and the Dalai Lama as instruments for signalling its own China policy. In 2014, among the guests to Prime Minister Modiâ€™s inauguration was the Sikyong or head of the Tibetan government-in-exile, Lobsang Sangay. Last year, in the midst of the Doklam standoff, India permitted Sangay to hoist the Tibetan flag on the shores of the Pangong Tso lake on the border with Tibet in Ladakh. On both issues, instead of quiet diplomacy, New Delhi chose to try and shame Beijing with strong public statements that put the latterâ€™s back up. Later in 2017, the two sides had their most serious border confrontation, but one which involved Chinese transgression of the Sino-Bhutanese border at Doklam. New Delhi was   above using the Dalai Lamaâ€™s access to signal its displeasure with Beijing. In December 2016, the Dalai Lama visited the Rashtrapati Bhavan and shared a dais with the president on a function to honour Nobel laureates. Early in 2017, the Dalai Lama was permitted to visit Tawang, the first time since 2009. What infuriated Beijing was that he was received by Chief Minister Pema Khandu and the Union Minister of State for Home Affairs Kiren Rijiju. The man who dealt with these issues as the Indian Ambassador in Beijing was Gokhale himself, and he is keenly aware as to how bad relations with China have led to an imbalance in Indiaâ€™s global posture. Ever since he became foreign secretary, there has been an effort to restore some equilibrium both in the Asia-Pacific region and the Middle-East. Given the Dalai Lamaâ€™s status as the temporal and religious authority of Tibet, when he came away to India, his government ministers accompanied him, and so the establishment was, in a sense, a Tibetan government-in-exile, though it was formally called the Central Tibetan Administration (CTA) of His Holiness the Dalai Lama. The terms used by the Tibetans for their council of ministers in Lhasa, Kashag, is still used, and its leader, the Kalon Tripa, served under the Dalai Lama. In 2011, the Dalai Lama gave up his temporal authority and the political authority was transferred to the Kalon Tripa, whose title was changed to Sikyong, currently Lobsang Sangay, who functions as the president of the CTA. But the title was the same as regents took when the Dalai Lama was a minor. In his very first meeting with Dalai Lama after his escape and exile in India in April 1959, Nehru made it clear that he could not act as the head of a government in exile in India. Since then, India has allowed Tibetans to protest against visiting Chinese leaders, it has encouraged Tibetan leaders to make their political statements outside the country, but it has also allowed the CTA to function. Whatever may have been Chinese intentions when they signed the 17-Point Agreement, they changed by 1959. Perhaps spooked by a CIA covert war against them in Tibet, they cracked down with great brutality and the Dalai Lama was lucky to manage his escape from Tibet. Over the years, the Chinese have, at times, reached out to the Dalai Lama, and at times termed him a â€œdangerous separatistâ€, â€œdemonâ€, â€œsplittistâ€ and a â€œwolf in sheepâ€™s clothing.â€ So extreme is the Chinese view that they have even declared that his reincarnation should be as per Chinese instructions and subject to their approval. They believe that his visits to Tawang may be a prelude for his reincarnation to take place there in the famous monastery which had been established in accordance with the wishes of the 5th Dalai Lama in 1680. As Chinese power has grown, so has their ability to ensure that the Dalai Lama is not received by any foreign leader. Today, only the Americans are willing to meet him; his last meeting with President Obama being in June 2016. Despite everything, Prime Minister Modi is yet to have had an official meeting with Dalai Lama. Discretion, it is said, is sometimes the better part of valour. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
51,The Quint,Ashraf Sehrai to Replace Geelani as Tehreek-e-Hurriyat Chairman - The Quint,"Tehreek-e-Hurriyat elected Mohammad Ashraf Sehrai as its chairman on 19 March, replacing Syed Ali Shah Geelani. Sehrai was elected chairman of the Tehreek-e-Hurriyat at a meeting of its executive committee after Geelani decided to step down, sources in the separatist party said. Geelani will, however, continue to head the hardline faction of the Hurriyat Conference of which Tehreek-e-Hurriyat is a constituent, the sources said. Geelani had been under the lens of the National Investigative Agency, which is probing terror financing cases in Jammu and Kashmir. The hardline separatist leader on Friday, 16 March, rejected the offer for talks by the Centreâ€™s special representative on sustained dialogue in Kashmir, Dineshwar Sharma. Political observers in Kashmir believe that Sehrai will ultimately succeed 88-year-old Geelani as the head of the Hurriyat Conference. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
52,Reuters,Republicans to Trump: Let Mueller Do His Job in Russia Probe - The Quint,"Republican senators warned President Donald Trump on Sunday, 18 March, not to fire Special Counsel Robert Mueller, and said the president must let federal investigators looking into Russian meddling in the US election do their jobs. Republican Senator Jeff Flake, who has criticised Trump harshly, said the president's latest comments appeared to be aimed at the firing of Mueller. Senator Lindsey Graham, another Republican, said if Trump were to dismiss Mueller, it would mark ""the beginning of the end of his presidency."" AshLee Strong, a spokeswoman for Republican House of Representatives Speaker Paul Ryan, said: ""As the speaker has always said, Mr Mueller and his team should be able to do their job."" In an effort to tamp down the chatter, White House lawyer Ty Cobb issued a statement on the night of 18 March saying that Trump was not weighing Mueller's removal. The Republican comments underscored the risks for Trump if he goes too far to thwart the federal probe. In a series of tweets over the weekend, Trump accused the FBI leadership of lies, corruption and leaking information. He called the Russia probe a politically motivated witch hunt. ""I don't know what the designs are on Mueller, but it seems to be building toward that (firing him), and I just hope it doesn't go there, because it can't. We can't in Congress accept that,"" Flake said on CNN's â€˜State of the Union.â€™ ""So I would expect to see considerable pushback in the next couple of days urging the president not to go there."" On Saturday, Trump's personal lawyer John Dowd urged the Justice Department official overseeing Mueller, Rod Rosenstein, to ""bring an end to alleged Russia Collusion investigation manufactured by McCabe's boss James Comey."" Republican US Representative Trey Gowdy criticised Dowd in an interview with â€˜Fox News Sunday.â€™ (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
53,The Quint,Jan Sangh Founder Shyama Prasad Mukherjeeâ€™s Name Inked in KolkataÂ  - The Quint,"Students of Presidency college in Kolkata allegedly inked Bharatiya Jan Sangh founder Shyama Prasad Mukherjee's name in the â€˜Hall of Fameâ€™ board in the college on Sunday, 18 March. Mukherjeeâ€™s name features prominently on the â€˜Hall of Fameâ€™ board along with other alumni of the college, including Swami Vivekananda, Dipesh Chakroborty, Air Marshall Subroto Mukherjee, Sisir Kumar Mitra, Srikumar Banerjee. Earlier in March, members of a left-wing student organisation allegedly vandalised a bust of Mukherjee and blackened its face in the Keoratola crematorium. Six people were detained by the police in connection with the incident. Hours after the assembly election results of Tripura were announced on 3 March, a statue of the communist icon Vladimir Lenin was bulldozed by a group of right wing supporters in the stateâ€™s Belonia town, triggering a series of attacks on statues of political leaders. Following the vandalism on Leninâ€™s statue, a Dravidian leader Periyarâ€™s statue was vandalised in Tamil Nadu as well. Statues of BR Ambedkar and Mahatma Gandhi were also not spared. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
54,PTI,Ram Jethmalani Calls for Mamata-Led Third Front to â€œOustâ€ Modi - The Quint,"Senior lawyer Ram Jethmalani on Sunday, 18 March called for formation of a third front led by West Bengal Chief Minister Mamata Banerjee to ""oustâ€ Prime Minister Narendra Modi in the next Lok Sabha elections. Both Congress and BJP governments have been deliberately apathetic to recovery of black money stashed in ""Germany and other countries"", Jethmalani said, speaking to reporters in Indore. ""They have committed a joint crime of cheating people. Therefore, a third front of honest leaders is needed,"" the former Union Law Minister said. Jethmalani who was once a Modi supporter later became the prime minister's bitter critic. The senior lawyer also criticised Finance Minister Arun Jaitley and the NDA government over their policy on black money. The NDA government has no right to stay in power, he said. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
55,Ravi Joshi,â€˜How Democracies Dieâ€™ â€“ Lessons for India? - The Quint,"The emergence of Donald Trump as the 45th President of the US in 2016 has provoked several books on the (sorry) state of American democracy and the crises it faces. â€˜How Democracies Dieâ€™ is authored by two Political Scientists from Harvard, Steven Levitsky and Daniel Ziblatt, is perhaps the most relevant book not only for America but for democracies in general â€“ and for India in particular. Warning that â€œDemocratic backsliding today begins at the ballot box,â€ they state that successful functioning of a democracy depends on various institutional checks and balances enshrined in the Constitution, strictly adhered by political parties and overseen by a watchful judiciary. The authors argue that political parties have to maintain â€˜mutual tolerationâ€™ â€“ or that competing parties accept one another as legitimate rivals â€“ and â€˜forbearanceâ€™ or the idea that politicians should exercise restraint in deploying their institutional prerogatives. One of the most important contributions of this book is a checklist of indices of an authoritarian leadership. We find, quite unsurprisingly, that Modi and the present BJP leadership tick all the boxes. Remember Anant Kumar Hegde? Other senior leaders are not so blatant but have often expressed reservations on the â€˜secularâ€™ clause inserted in the Preamble. Repeated calls for amending the Constitution in order to hold one-time National elections for both the Parliament and State Assemblies, thereby undermining the Federal nature of the Indian polity. Obstructing the functioning of a democratically elected government in the State of Delhi, because an Opposition party rules it. Bending the Election Commission to postpone the date of polls in Gujarat till PM Modi inaugurated the Narmada Dam and announced more sops to the people of the state. Use of money power to buy up MLAs where the BJP was in a minority to gain power as in the case of Goa, Meghalaya and Nagaland. Meghalaya is a classic case where the BJP with only two MLAs managed to stitch together a ruling coalition. The Congress Party too in the past indulged in a similar game of thwarting popular mandate through money power, but the game has now reached a new order of magnitude. No such attempt has been made, but several opposition parties questioned the use of EVMs to rig the ballot. This needs further proof.  Bharat is a stated objective of PM Modi. The Opposition is often painted as anti-development and anti-progress. Repeated assertions that nothing good has been done to the country in the last 70 years and that the first PM Pandit Nehru is the root cause of all that is wrong in the country today. All the corruption and evils of last 70 years blamed on one party â€“ the Congress â€“ which is therefore held unfit to rule. No serious attempt is made to investigate their corruption and penalise the guilty. Sonia Gandhi, former President of Congress Party is often accused of being a foreign agent, because of her Italian birth, though she is a full -fledged Indian citizen. Letâ€™s take a look at the RSS, VHP, Rama Sene, Hindu Sene, Karni Sena etc. This was supported by several ministers and leaders in about 6 BJP ruling States. PM Modiâ€™s long and deafening silence on lynch mobs, repeated refusal to condemn the killers of Gauri Lankesh; instead following on the Twitter a person who gloated over her killing. BJP leaders have often endorsed violence on Muslims by their lynch mobs either by underplaying it or by justifying it. PM Modiâ€™s refusal to condemn or regret the violence on Muslims in Gujarat in 2002 and his more recent refusal to condemn the violence of Rohingya refugees in Myanmar in 2017. In both cases, the victims are Muslims. Use of the most dreaded â€˜Sedition Actâ€™ on protest speeches by a few students of JNU, basing them on doctored CDs. Dismissal of a Dalit Research scholar from the rolls of the Central University Hyderabad for demanding restoration of his scholarship grant, leading to his suicide. The arrest and continued detention of Karti Chidambaram, son of former Finance Minister P Chidambaram, on charges that are yet to be proven. Filing of a Rs 100 crore defamation suit against an online news site â€˜The Wireâ€™ for publishing an article against Jay Shah, son of BJP President Amit Shah. Repeated criminal cases against Human Rights Lawyer Teesta Setalvad, who is fighting for justice for the victims of communal violence in Gujarat in 2002.) They greatly admire his success in building up a powerful state of Germany that emerged from the ruins of the First World War. Now Israel and PM Benjamin Netanyahu are the role models for their ruthless suppression of the Palestinians. Both in the US and India, the guardrails of democracy have been breached. The trends are dangerous and worrying. â€˜Saving Democracyâ€™ is the last chapter in the book that has many useful lessons for all democracies. It is a compelling book for our troubled times. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
56,Chandan Nandy,Review: A Dive Into Pakistanâ€™s Deep State & Americaâ€™s Longest War - The Quint,"Well into its first 200 pages, celebrated American journalist-writer-professor Steve Collâ€™s book  ,   offers a gripping account of the combined might of the USâ€™ security agencies, at war with al Qaeda and the Taliban. In Collâ€™s polite words, barring the elimination of Al Qaeda leader Osama bin Laden on 1 May 2011 (which was the result of an air-tight and well-executed operation by the CIA), the US National Counter Terrorism Centre and White Houseâ€™s policies in restoring peace on war-ravaged Afghanistan, were â€œriddled with such internal contradictions and unresolved analytical questions (that) failed to achieve the extraordinarily ambitious aim of stabilising war-shattered Afghanistanâ€¦ It became a story of mismatched means and ends.â€ Moreover,   also goes into the heart of the Pakistani security establishment, chiefly the Inter-Services Intelligence (ISI). Not many American writers have delved so deep into Pakistanâ€™s â€œdeep stateâ€ like Coll has. It appears that as an unbiased observer and chronicler of the so-called war that America waged on the Taliban and al Qaeda, Coll leaves behind an impression â€“ that while considered to be perfidious in its ways â€“ the Pakistani intelligence agency (ISI) was a â€œformidable adversaryâ€ of the US. From the tenure of Pervez Musharraf, first as the Pakistan Army Chief of Staff and then as the countryâ€™s military dictator, to General Ashfaq Qayani and General Ahmed Shuja Pasha, Collâ€™s narrative accounts, complete with full quotations of several of the actors American, Pakistani and Afghan, over a 15-year-period, is breathtaking and awe-inspiring. While  , in large part, connects many seemingly disparate stories into a wholesome narrative, it reveals how India remained a bit player in the high-stakes war in Afghanistan and Pakistan. According to Coll, Pakistanâ€™s extreme levels of suspicions of Indiaâ€™s intentions in Afghanistan after the so-called â€˜fall of the Talibanâ€™ in 2001, was fueled by the ISIâ€™s own running and backing of terrorism against India. Immediately after 9/11, the ISI successfully kept the US at bay from bringing India into the security matrix over Afghanistan. Coll goes back to the 26 November 2008 terror strikes in Mumbai â€“ â€œa Hollywood-inspired terrorist extravaganzaâ€ â€“ in some detail, which convinced the US about the massive threat posed by ISI-backed-and-supported terrorists in South Asia. But the US still hedged its bets on Pakistan as an ally in its war against the Taliban and Al Qaeda, especially in the CIAâ€™s unrelenting hunt for bin Laden. However, the brushes of cooperation between Indian and American security agencies did foster the semblance of trust between the two countries, though the Indian establishment continued to remain ambivalent about partnering wholly with its US counterparts. Here too,   reflects the depths of Collâ€™s reach within the Pakistani, American and Afghan establishments. Collâ€™s conclusion on the ISI-al Qaeda relationship is summed up in a brief paragraph in which he says that â€œCIA and other Obama administration officials have said they possess no evidenceâ€¦ that Kayani and Pasha or any other ISI officer knew where bin Laden was hiding. Given the hostility toward Pakistan prevalent in American national security bureaucracy by 2011, if the United States possessed such hard evidence, it almost certainly would have leakedâ€. The CIA would listen in on most phone conversations between the topmost officers of the Pakistani military and intelligence establishments, including Kayani and Pasha. In one instance, Coll exposes how â€œintercepts of phone conversations between Kayani and Pasha after the Abbottabad raid had them sounding surprised about Bin Ladenâ€™s whereabouts â€“ or pretending to be surprised â€“ but also captured them expressing envy.â€ Despite being a high-value target, Omar had escaped assassination by drone-guided missiles, but resurfaced in 2013 as a dead man â€“ who fell prey to a kidney ailment â€“ in a Karachi hospital. Coll acknowledges, and rightly so, that for all the efforts that the US put into resolving the Afghan imbroglio, its â€œfailure to solve the riddle of ISI and to stop its covert interference in Afghanistan became, ultimately, the greatest strategic failure of the American warâ€. More importantly, the Bush administrationâ€™s needless involvement in Iraq certainly deflected its attention from Afghanistan and Pakistan. The Bush and Obama administrations, with their multiple agencies and waves of new officials and so-called specialists who occupied sensitive positions between 2001 and 2016, worked with little cooperation among themselves. They â€œinterpreted White House policy memos liberallyâ€, and sometimes so divergently, that their actions, howsoever genuine, caused a means-and-ends â€œmismatchâ€, leading ultimately to the failure in establishing a stable government in Kabul. The â€œmachineâ€ was not geared to install and run good governments in â€œdeeply impoverished, violent landscapes or to win asymmetric conflictsâ€. What Coll, however, forgets is that America has always had a history of mismanaging crises emanating from its own policy botch-ups across many theatres of global violence.     (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
57,The Quint,Yogi Govt Focused on Temples Instead of the Poor: BJP Ally Rajbhar - The Quint,"As the Yogi Adityanath-led government turns a year old, an ally of the ruling party has gone public with his criticism of the Bharatiya Janata Party (BJP),   reported on 19 March. Om Prakash Rajbhar, chief of the Suheldev Bharatiya Samaj Party alleged that the BJP in Uttar Pradesh has merely focused on temples instead of the poor, with little change on ground. A minister in the UP cabinet, Rajbhar said that the BJP did not consult his party before choosing its candidates for the upcoming Rajya Sabha polls despite the presence of the partyâ€™s four legislators in the UP assembly,   reported. Rajbhar also warned that the ruling BJP ""will lose elections"" if the government doesn't mend its ways. After a major blow in the bypolls, the BJP's biggest ally in the south, the Telugu Desam Party of Andhra Pradesh chief minister Chandrababu Naidu, withdrew its support and decided to push a no-confidence move in parliament. Taking cue, Rajbhar accused the party of not following the coalition drama in Uttar Pradesh. Although Rajbhar skipped the one-year celebrations, for now, he is not pulling out of the alliance. Recently, union minister Ram Vilas Paswan, advised the party to learn from its crushing defeat in UP bypolls and ""mend its image."" Rajbhar, is the second ally to openly express his disenchantment with the BJP, the NDTV report added. Meanwhile, Siddharth Nath Singh, a BJP minister in the state, said Rajbhar should not go public with his problems when he is in alliance with the party, the Scroll report added.     (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
58,Ashutosh,Akhilesh-Mayawati Victory Teaches Opposition: â€˜United We Riseâ€™ - The Quint,"There is an old slogan â€”  This slogan did the rounds in 1993, when Uttar Pradesh was due for Assembly Elections. At the time, Mulayam Singh Yadav and Kanshiram had reached an understanding, and had decided to contest the elections together. The Babri Masjid had been pulled down. LK Advani was at the helm in BJP. In UP, Kalyan Singh was the â€œHindu Hriday Samratâ€ (emperor of Hindu hearts) and wielded a significant amount of influence. After the demolition of the Babri Masjid, the BJP government had been shown the door. Elections were going on and the BJP was confident about its victory. But the Mulayam-Kanshiram alliance changed the equation â€“ just like today, when the Akhilesh Yadav and Mayawati alliance changed the game in the UP by-elections for Gorakhpur and Phulpur, by winning both seats. In 1993 too, BJP had lost the election. The slogan proved to be true. Mandal politics got the upper hand over Kamandal politics. Even the war cry of â€˜Jai Shree Ramâ€™ couldnâ€™t save the BJP. The election results of Gorakhpur and Phulpur are interesting in many ways. BJPâ€™s UP Chief Minister Yogi Adityanath has won the Gorakhpur seat the last five times. Before him, Mahant Adityanath had won thrice from that seat. Meaning, since the â€˜Ram Mandirâ€™ issue came up, the BJP has   lost the seat. But a senior BJP member had told me that he (Yogi) was leader of the future. I did not agree with him. At the very least, this was a shock for the people of UP. At the beginning, TV news channels focused so much on Yogi, that for a while even Modi was pushed off the screen. The Sangh Pariwar and BJP always thought that after Kalyan Singh, they had no other leader in the region of his stature who could secure a win for the party on his own. Rajnath Singh is a big leader but the party wants him at the Centre. He also doesnâ€™t want to get caught up in regional politics. The Sanghâ€™s assessment was that without winning UP, Delhi canâ€™t be won, and the   cannot be created. This is the reason why Modi was made to contest the election from Benaras. After the UP Assembly victory, the dream to make Yogi into the next Kalyan Singh was visualised. Just like Kalyan Singh, Yogi is also immersed in the Sanghâ€™s â€˜Hindutva coloursâ€™. Yogi started showing his true colours soon after becoming chief minister. Meat sellers began to be terrorised by  Everyone knew that   was just an excuse, and the real target was the Muslim community. Then began the â€˜love jihadâ€™ attacks and the formation of the â€˜Romeo Squadâ€™. Soon, encounter killings started to take place; around 40 such killings took place on Yogiâ€™s watch. Now, if a leader like that is unable to deliver a victory from his home base, how will he ever fulfill the Sanghâ€™s dreams? This question will definitely be asked now. The Phulpur seat was Keshav Prasad Mauryaâ€™s. He has been state party chief and is currently the Deputy Chief Minister. Being quite active in the Vishva Hindu Parishad, he has no qualms about being identified as a â€˜Hindutvavadiâ€™. But Maurya also failed. This is just one angle to the UP results. The real picture is much deeper, the source of which can be traced back to 1993. In the 2014 Lok Sabha elections, Mayawati didnâ€™t win anything. Samajwadi Party managed to get five seats with difficulty. The BJP coalition won 73 seats. In 2017, Mayawatiâ€™s position became even weaker and she only managed to get 18 MLAs in the Assembly. Samajwadi Party also shrunk to 48 seats. So, what happened in just a year that the BJP couldnâ€™t save the base of two of its senior leaders? Actually, this story is more about Indian society than Indian politics. The upper castes have dominated for thousands of years, to the detriment of Dalit and other backward castes. After the Mandal Commission came into effect, the fight of the backward castes became stronger. Along with equality before the law, they also began participating in power politics in proportion to their population. Yogi didnâ€™t merely describe the Akhilesh Yadav-Mayawati alliance as a â€˜saanp-chuchunderâ€™ (snake-shrew) merger for the sake of it. It points to a deeply entrenched ideology. In numbers, the Dalit and Backward Castes form 80 percent of Hindu society, while the Upper Castes form 20 percent. Democracy is a numbers game. The one who has more people, has more power. Whenever there is a fight between 80 and 20, 20 will have to lose. But this will only happen when the 80 come together. With SP and BSP coming together as a united front, the BJPâ€™s head was left spinning. A one-time senior BJP leader Govindacharya calls it â€˜social engineering.â€™ This time, this social engineering worked. This â€˜social engineeringâ€™ will prove to be the biggest obstacle in Modiâ€™s path. If Mayawati and Akhilesh stay together, then irrespective of what Modi does, the BJP collation wonâ€™t be able to get 73 seats as they did in 2014. And if that happens, then it will be near impossible for the BJP to reach the required majority in the Lok Sabha. So, the story comes back to the point, â€˜ The Akhilesh-Mayawati alliance has the power to change the countryâ€™s politics. It can eclipse Modiâ€™s second term. This alliance also sends a message to the Opposition that if everyone unites, then Modi can be stopped and the RSS dream of making India a â€˜Hindu Rashtraâ€™ can also be prevented. But the million dollar question is: will the Opposition accept and realise this, and will Modi refrain from using government machinery to break this understanding? Will the Opposition have the capacity and mental strength to counter Modiâ€™s tactics? The game has just begun.       (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
